date,total
2018 06 18 00 00,3
2018 06 18 00 10,4
2018 06 18 00 20,5
2018 06 18 00 30,4
2018 06 18 00 40,3
2018 06 18 00 50,2
2018 06 18 01 00,3
2018 06 18 01 10,2
2018 06 18 01 20,3
2018 06 18 01 30,0
2018 06 18 01 40,1
2018 06 18 01 50,1
2018 06 18 02 00,3
2018 06 18 02 10,0
2018 06 18 02 20,0
2018 06 18 02 30,0
2018 06 18 02 40,0
2018 06 18 02 50,0
2018 06 18 03 00,0
2018 06 18 03 10,1
2018 06 18 03 20,0
2018 06 18 03 30,0
2018 06 18 03 40,1
2018 06 18 03 50,1
2018 06 18 04 00,0
2018 06 18 04 10,0
2018 06 18 04 20,0
2018 06 18 04 30,1
2018 06 18 04 40,0
2018 06 18 04 50,0
2018 06 18 05 00,0
2018 06 18 05 10,1
2018 06 18 05 20,0
2018 06 18 05 30,0
2018 06 18 05 40,1
2018 06 18 05 50,1
2018 06 18 06 00,0
2018 06 18 06 10,0
2018 06 18 06 20,0
2018 06 18 06 30,0
2018 06 18 06 40,0
2018 06 18 06 50,1
2018 06 18 07 00,4
2018 06 18 07 10,0
2018 06 18 07 20,1
2018 06 18 07 30,6
2018 06 18 07 40,8
2018 06 18 07 50,8
2018 06 18 08 00,15
2018 06 18 08 10,13
2018 06 18 08 20,10
2018 06 18 08 30,8
2018 06 18 08 40,13
2018 06 18 08 50,23
2018 06 18 09 00,14
2018 06 18 09 10,14
2018 06 18 09 20,14
2018 06 18 09 30,16
2018 06 18 09 40,17
2018 06 18 09 50,31
2018 06 18 10 00,23
2018 06 18 10 10,24
2018 06 18 10 20,23
2018 06 18 10 30,30
2018 06 18 10 40,26
2018 06 18 10 50,18
2018 06 18 11 00,22
2018 06 18 11 10,20
2018 06 18 11 20,20
2018 06 18 11 30,23
2018 06 18 11 40,34
2018 06 18 11 50,43
2018 06 18 12 00,63
2018 06 18 12 10,71
2018 06 18 12 20,108
2018 06 18 12 30,113
2018 06 18 12 40,118
2018 06 18 12 50,111
2018 06 18 13 00,110
2018 06 18 13 10,103
2018 06 18 13 20,99
2018 06 18 13 30,84
2018 06 18 13 40,80
2018 06 18 13 50,60
