group,date,value
LG1,8:00,34.67741935
LG7,8:00,31.22580645
McD,8:00,10.22580645
CHI,8:00,0.032258065
LSK,8:00,1.967741935
LG1,8:30,67.4516129
LG7,8:30,49.25806452
McD,8:30,19.16129032
CHI,8:30,0.032258065
LSK,8:30,2.516129032
LG1,9:00,117.8387097
LG7,9:00,52.22580645
McD,9:00,23.87096774
CHI,9:00,0
LSK,9:00,3.483870968
LG1,9:30,89.25806452
LG7,9:30,40.51612903
McD,9:30,16.09677419
CHI,9:30,0.032258065
LSK,9:30,3.612903226
LG1,10:00,79.41935484
LG7,10:00,37.32258065
McD,10:00,18.74193548
CHI,10:00,0.064516129
LSK,10:00,4
