group,date,value
LG1,18:00,72.03225806
LG7,18:00,185.0322581
McD,18:00,47.41935484
CHI,18:00,6
LSK,18:00,1.903225806
LG1,18:30,82.61290323
LG7,18:30,214.1935484
McD,18:30,54.4516129
CHI,18:30,15.19354839
LSK,18:30,2.451612903
LG1,19:00,89.41935484
LG7,19:00,172.0645161
McD,19:00,52.16129032
CHI,19:00,18.87096774
LSK,19:00,1.935483871
LG1,19:30,82.35483871
LG7,19:30,122.4516129
McD,19:30,48.58064516
CHI,19:30,17.25806452
LSK,19:30,1.612903226
LG1,20:00,63.25806452
LG7,20:00,88.41935484
McD,20:00,45.25806452
CHI,20:00,15
LSK,20:00,1.064516129
