date,total
2018 06 18 00 00,13
2018 06 18 00 10,14
2018 06 18 00 20,9
2018 06 18 00 30,7
2018 06 18 00 40,4
2018 06 18 00 50,4
2018 06 18 01 00,7
2018 06 18 01 10,4
2018 06 18 01 20,4
2018 06 18 01 30,3
2018 06 18 01 40,4
2018 06 18 01 50,3
2018 06 18 02 00,4
2018 06 18 02 10,1
2018 06 18 02 20,1
2018 06 18 02 30,1
2018 06 18 02 40,0
2018 06 18 02 50,0
2018 06 18 03 00,0
2018 06 18 03 10,1
2018 06 18 03 20,0
2018 06 18 03 30,0
2018 06 18 03 40,1
2018 06 18 03 50,2
2018 06 18 04 00,0
2018 06 18 04 10,0
2018 06 18 04 20,0
2018 06 18 04 30,1
2018 06 18 04 40,0
2018 06 18 04 50,0
2018 06 18 05 00,0
2018 06 18 05 10,1
2018 06 18 05 20,1
2018 06 18 05 30,0
2018 06 18 05 40,1
2018 06 18 05 50,2
2018 06 18 06 00,2
2018 06 18 06 10,2
2018 06 18 06 20,2
2018 06 18 06 30,4
2018 06 18 06 40,3
2018 06 18 06 50,6
2018 06 18 07 00,8
2018 06 18 07 10,7
2018 06 18 07 20,9
2018 06 18 07 30,15
2018 06 18 07 40,22
2018 06 18 07 50,23
2018 06 18 08 00,38
2018 06 18 08 10,38
2018 06 18 08 20,46
2018 06 18 08 30,47
2018 06 18 08 40,52
2018 06 18 08 50,68
2018 06 18 09 00,61
2018 06 18 09 10,66
2018 06 18 09 20,66
2018 06 18 09 30,85
2018 06 18 09 40,103
2018 06 18 09 50,105
2018 06 18 10 00,70
2018 06 18 10 10,62
2018 06 18 10 20,64
2018 06 18 10 30,66
2018 06 18 10 40,69
2018 06 18 10 50,70
2018 06 18 11 00,77
2018 06 18 11 10,70
2018 06 18 11 20,70
2018 06 18 11 30,75
2018 06 18 11 40,87
2018 06 18 11 50,109
2018 06 18 12 00,157
2018 06 18 12 10,166
2018 06 18 12 20,215
2018 06 18 12 30,227
2018 06 18 12 40,218
2018 06 18 12 50,213
2018 06 18 13 00,213
2018 06 18 13 10,229
2018 06 18 13 20,219
2018 06 18 13 30,192
2018 06 18 13 40,170
2018 06 18 13 50,146
2018 06 18 14 00,143
2018 06 18 14 10,137
2018 06 18 14 20,144
2018 06 18 14 30,124
2018 06 18 14 40,141
2018 06 18 14 50,127
2018 06 18 15 00,122
2018 06 18 15 10,124
2018 06 18 15 20,105
2018 06 18 15 30,83
2018 06 18 15 40,85
2018 06 18 15 50,89
2018 06 18 16 00,80
2018 06 18 16 10,78
2018 06 18 16 20,80
2018 06 18 16 30,83
2018 06 18 16 40,81
2018 06 18 16 50,68
2018 06 18 17 00,72
2018 06 18 17 10,86
2018 06 18 17 20,84
2018 06 18 17 30,64
2018 06 18 17 40,88
2018 06 18 17 50,123
2018 06 18 18 00,146
2018 06 18 18 10,200
2018 06 18 18 20,213
2018 06 18 18 30,225
2018 06 18 18 40,228
2018 06 18 18 50,247
2018 06 18 19 00,262
2018 06 18 19 10,223
2018 06 18 19 20,218
2018 06 18 19 30,209
2018 06 18 19 40,174
2018 06 18 19 50,186
2018 06 18 20 00,187
2018 06 18 20 10,172
2018 06 18 20 20,147
2018 06 18 20 30,130
2018 06 18 20 40,121
2018 06 18 20 50,94
2018 06 18 21 00,90
2018 06 18 21 10,88
2018 06 18 21 20,87
2018 06 18 21 30,56
2018 06 18 21 40,50
2018 06 18 21 50,28
2018 06 18 22 00,33
2018 06 18 22 10,32
2018 06 18 22 20,33
2018 06 18 22 30,24
2018 06 18 22 40,36
2018 06 18 22 50,38
2018 06 18 23 00,51
2018 06 18 23 10,44
2018 06 18 23 20,29
2018 06 18 23 30,20
2018 06 18 23 40,13
2018 06 18 23 50,16
2018 06 19 00 00,19
2018 06 19 00 10,11
2018 06 19 00 20,6
2018 06 19 00 30,5
2018 06 19 00 40,5
2018 06 19 00 50,5
2018 06 19 01 00,5
2018 06 19 01 10,5
2018 06 19 01 20,5
2018 06 19 01 30,5
2018 06 19 01 40,5
2018 06 19 01 50,2
2018 06 19 02 00,2
2018 06 19 02 10,1
2018 06 19 02 20,3
2018 06 19 02 30,1
2018 06 19 02 40,1
2018 06 19 02 50,2
2018 06 19 03 00,1
2018 06 19 03 10,1
2018 06 19 03 20,1
2018 06 19 03 30,0
2018 06 19 03 40,0
2018 06 19 03 50,0
2018 06 19 04 00,0
2018 06 19 04 10,1
2018 06 19 04 20,2
2018 06 19 04 30,3
2018 06 19 04 40,2
2018 06 19 04 50,1
2018 06 19 05 00,1
2018 06 19 05 10,2
2018 06 19 05 20,2
2018 06 19 05 30,1
2018 06 19 05 40,0
2018 06 19 05 50,2
2018 06 19 06 00,2
2018 06 19 06 10,1
2018 06 19 06 20,3
2018 06 19 06 30,4
2018 06 19 06 40,4
2018 06 19 06 50,6
2018 06 19 07 00,11
2018 06 19 07 10,10
2018 06 19 07 20,25
2018 06 19 07 30,41
2018 06 19 07 40,78
2018 06 19 07 50,102
2018 06 19 08 00,102
2018 06 19 08 10,90
2018 06 19 08 20,130
2018 06 19 08 30,174
2018 06 19 08 40,214
2018 06 19 08 50,272
2018 06 19 09 00,267
2018 06 19 09 10,184
2018 06 19 09 20,177
2018 06 19 09 30,175
2018 06 19 09 40,186
2018 06 19 09 50,170
2018 06 19 10 00,137
2018 06 19 10 10,109
2018 06 19 10 20,117
2018 06 19 10 30,126
2018 06 19 10 40,111
2018 06 19 10 50,103
2018 06 19 11 00,84
2018 06 19 11 10,85
2018 06 19 11 20,86
2018 06 19 11 30,117
2018 06 19 11 40,156
2018 06 19 11 50,204
2018 06 19 12 00,285
2018 06 19 12 10,492
2018 06 19 12 20,553
2018 06 19 12 30,616
2018 06 19 12 40,671
2018 06 19 12 50,790
2018 06 19 13 00,878
2018 06 19 13 10,896
2018 06 19 13 20,893
2018 06 19 13 30,850
2018 06 19 13 40,698
2018 06 19 13 50,544
2018 06 19 14 00,403
2018 06 19 14 10,303
2018 06 19 14 20,209
2018 06 19 14 30,141
2018 06 19 14 40,133
2018 06 19 14 50,131
2018 06 19 15 00,155
2018 06 19 15 10,137
2018 06 19 15 20,128
2018 06 19 15 30,134
2018 06 19 15 40,131
2018 06 19 15 50,135
2018 06 19 16 00,123
2018 06 19 16 10,127
2018 06 19 16 20,116
2018 06 19 16 30,107
2018 06 19 16 40,116
2018 06 19 16 50,109
2018 06 19 17 00,106
2018 06 19 17 10,104
2018 06 19 17 20,147
2018 06 19 17 30,180
2018 06 19 17 40,215
2018 06 19 17 50,281
2018 06 19 18 00,356
2018 06 19 18 10,401
2018 06 19 18 20,375
2018 06 19 18 30,391
2018 06 19 18 40,377
2018 06 19 18 50,354
2018 06 19 19 00,320
2018 06 19 19 10,322
2018 06 19 19 20,313
2018 06 19 19 30,290
2018 06 19 19 40,266
2018 06 19 19 50,257
2018 06 19 20 00,251
2018 06 19 20 10,220
2018 06 19 20 20,178
2018 06 19 20 30,141
2018 06 19 20 40,109
2018 06 19 20 50,93
2018 06 19 21 00,85
2018 06 19 21 10,84
2018 06 19 21 20,86
2018 06 19 21 30,53
2018 06 19 21 40,60
2018 06 19 21 50,56
2018 06 19 22 00,65
2018 06 19 22 10,59
2018 06 19 22 20,66
2018 06 19 22 30,48
2018 06 19 22 40,57
2018 06 19 22 50,32
2018 06 19 23 00,40
2018 06 19 23 10,38
2018 06 19 23 20,39
2018 06 19 23 30,38
2018 06 19 23 40,38
2018 06 19 23 50,23
2018 06 20 00 00,27
2018 06 20 00 10,16
2018 06 20 00 20,13
2018 06 20 00 30,16
2018 06 20 00 40,1
2018 06 20 00 50,6
2018 06 20 01 00,8
2018 06 20 01 10,8
2018 06 20 01 20,5
2018 06 20 01 30,1
2018 06 20 01 40,0
2018 06 20 01 50,2
2018 06 20 02 00,1
2018 06 20 02 10,0
2018 06 20 02 20,0
2018 06 20 02 30,2
2018 06 20 02 40,1
2018 06 20 02 50,0
2018 06 20 03 00,1
2018 06 20 03 10,1
2018 06 20 03 20,0
2018 06 20 03 30,0
2018 06 20 03 40,1
2018 06 20 03 50,0
2018 06 20 04 00,2
2018 06 20 04 10,2
2018 06 20 04 20,0
2018 06 20 04 30,0
2018 06 20 04 40,0
2018 06 20 04 50,0
2018 06 20 05 00,0
2018 06 20 05 10,0
2018 06 20 05 20,1
2018 06 20 05 30,0
2018 06 20 05 40,0
2018 06 20 05 50,0
2018 06 20 06 00,1
2018 06 20 06 10,2
2018 06 20 06 20,4
2018 06 20 06 30,4
2018 06 20 06 40,5
2018 06 20 06 50,8
2018 06 20 07 00,11
2018 06 20 07 10,17
2018 06 20 07 20,29
2018 06 20 07 30,29
2018 06 20 07 40,44
2018 06 20 07 50,72
2018 06 20 08 00,94
2018 06 20 08 10,104
2018 06 20 08 20,140
2018 06 20 08 30,196
2018 06 20 08 40,237
2018 06 20 08 50,268
2018 06 20 09 00,249
2018 06 20 09 10,231
2018 06 20 09 20,189
2018 06 20 09 30,173
2018 06 20 09 40,179
2018 06 20 09 50,178
2018 06 20 10 00,148
2018 06 20 10 10,127
2018 06 20 10 20,113
2018 06 20 10 30,110
2018 06 20 10 40,103
2018 06 20 10 50,92
2018 06 20 11 00,109
2018 06 20 11 10,112
2018 06 20 11 20,133
2018 06 20 11 30,143
2018 06 20 11 40,202
2018 06 20 11 50,263
2018 06 20 12 00,322
2018 06 20 12 10,394
2018 06 20 12 20,454
2018 06 20 12 30,545
2018 06 20 12 40,630
2018 06 20 12 50,760
2018 06 20 13 00,910
2018 06 20 13 10,944
2018 06 20 13 20,922
2018 06 20 13 30,794
2018 06 20 13 40,681
2018 06 20 13 50,569
2018 06 20 14 00,453
2018 06 20 14 10,325
2018 06 20 14 20,235
2018 06 20 14 30,186
2018 06 20 14 40,169
2018 06 20 14 50,132
2018 06 20 15 00,119
2018 06 20 15 10,106
2018 06 20 15 20,119
2018 06 20 15 30,151
2018 06 20 15 40,154
2018 06 20 15 50,142
2018 06 20 16 00,111
2018 06 20 16 10,108
2018 06 20 16 20,113
2018 06 20 16 30,110
2018 06 20 16 40,100
2018 06 20 16 50,109
2018 06 20 17 00,110
2018 06 20 17 10,87
2018 06 20 17 20,102
2018 06 20 17 30,147
2018 06 20 17 40,217
2018 06 20 17 50,288
2018 06 20 18 00,381
2018 06 20 18 10,407
2018 06 20 18 20,418
2018 06 20 18 30,388
2018 06 20 18 40,401
2018 06 20 18 50,371
2018 06 20 19 00,327
2018 06 20 19 10,330
2018 06 20 19 20,297
2018 06 20 19 30,260
2018 06 20 19 40,259
2018 06 20 19 50,235
2018 06 20 20 00,227
2018 06 20 20 10,188
2018 06 20 20 20,188
2018 06 20 20 30,140
2018 06 20 20 40,144
2018 06 20 20 50,133
2018 06 20 21 00,127
2018 06 20 21 10,113
2018 06 20 21 20,84
2018 06 20 21 30,59
2018 06 20 21 40,66
2018 06 20 21 50,60
2018 06 20 22 00,49
2018 06 20 22 10,47
2018 06 20 22 20,48
2018 06 20 22 30,51
2018 06 20 22 40,35
2018 06 20 22 50,51
2018 06 20 23 00,45
2018 06 20 23 10,36
2018 06 20 23 20,33
2018 06 20 23 30,30
2018 06 20 23 40,27
2018 06 20 23 50,31
2018 06 21 00 00,27
2018 06 21 00 10,27
2018 06 21 00 20,18
2018 06 21 00 30,6
2018 06 21 00 40,2
2018 06 21 00 50,1
2018 06 21 01 00,0
